inchikey14,metric_ik14,n_libs,n_spectra,libs
NGJDJTLGQWNCPT,NGJDJTLGQWNCPT,1,4,enveda-180
NGJFDFAIRAKMPJ,NGJFDFAIRAKMPJ,1,9,pluskal_ms2
NGJFFGHMVBZPSW,NGJFFGHMVBZPSW,1,7,pluskal_ms2
NGJGRGCJOWRHJQ,NGJGRGCJOWRHJQ,1,4,enveda-180
NGJGXXXXRCBNDJ,NGJGXXXXRCBNDJ,1,5,pluskal_ms2
NGJHDAKDUXDBEW,NGJHDAKDUXDBEW,1,24,pluskal_ms2
NGJHELTWHZSJPW,NGJHELTWHZSJPW,1,12,enveda-180
NGJHWKDTWHKGSL,NGJHWKDTWHKGSL,1,4,enveda-180
NGJHYXSQFUWGPS,NGJHYXSQFUWGPS,1,7,pluskal_ms2
NGJIIWFIMLLNFN,NGJIIWFIMLLNFN,1,12,enveda-180
NGJLANAOHBWBDX,NGJLANAOHBWBDX,1,4,enveda-180
NGJLOFCOEOHFKQ,NGJLOFCOEOHFKQ,1,7,pluskal_ms2
NGJOOUAZHCZCOW,NGJOOUAZHCZCOW,1,1,gnps
NGJOPKIPWMIMHJ,NGJOPKIPWMIMHJ,1,22,spectraverse
NGJQARUNBTXPFL,NGJQARUNBTXPFL,1,1,spectraverse
NGJSNIOEGAKHID,NGJSNIOEGAKHID,1,3,enveda-180
NGJXQMKEYFGSIJ,NGJXQMKEYFGSIJ,1,17,enveda-180
NGJZBGUHMWJGBJ,NGJZBGUHMWJGBJ,1,5,pluskal_ms2
NGKAGOIMMARNRR,NGKAGOIMMARNRR,1,4,enveda-180
NGKBQHWLZSWRDN,NGKBQHWLZSWRDN,1,6,enveda-180
NGKCONZXUZZBLW,NGKCONZXUZZBLW,1,3,enveda-180
NGKDVEQNWPKAHL,NGKDVEQNWPKAHL,1,7,enveda-180
NGKDVTQWDHFLCU,NGKDVTQWDHFLCU,1,3,enveda-180
NGKHJYMHHQIMAV,NGKHJYMHHQIMAV,1,10,enveda-180
NGKIDJMAXLRJRL,NGKIDJMAXLRJRL,1,2,gnps
NGKIYGAMEWOVID,NGKIYGAMEWOVID,1,8,enveda-180
NGKKVGNPMPCRRT,NGKKVGNPMPCRRT,1,4,enveda-180
NGKKXQCHBBPVLK,NGKKXQCHBBPVLK,1,13,enveda-180
NGKLGHCNKRGXFG,NGKLGHCNKRGXFG,1,18,pluskal_ms2
NGKMBRNAPFFBOS,NGKMBRNAPFFBOS,1,8,enveda-180
NGKNGNWVHBGKAL,NGKNGNWVHBGKAL,1,8,enveda-180
NGKRSCREGNCKHS,NGKRSCREGNCKHS,1,6,spectraverse
NGKSRQPPRJXENT,NGKSRQPPRJXENT,1,6,enveda-180
NGKXREXYRATPOK,NGKXREXYRATPOK,1,3,enveda-180
NGKZFDYBISXGGS,NGKZFDYBISXGGS,5,20,massbank;msdial;riken;mona;drug_plus
NGKZOLUFGYWYKX,NGKZOLUFGYWYKX,1,4,enveda-180
NGLBEHYEYSLODV,NGLBEHYEYSLODV,1,6,enveda-180
NGLBTHHMDADHEZ,NGLBTHHMDADHEZ,1,2,enveda-180
NGLGHVNFRIQPKT,NGLGHVNFRIQPKT,1,3,enveda-180
NGLLAMUXSZAKKG,NGLLAMUXSZAKKG,1,8,enveda-180
NGLLOPXGXZKMJN,NGLLOPXGXZKMJN,1,7,enveda-180
NGLNBNRISVQFKD,NGLNBNRISVQFKD,1,4,enveda-180
NGLONJZNBAQHSQ,NGLONJZNBAQHSQ,1,16,pluskal_ms2
NGLQADGQCZRSLG,NGLQADGQCZRSLG,1,4,enveda-180
NGLRKIDPSJBEQW,NGLRKIDPSJBEQW,1,8,enveda-180
NGLRNUNKVSWXJC,NGLRNUNKVSWXJC,1,8,pluskal_ms2
NGLSCJVKBNNDBG,NGLSCJVKBNNDBG,1,13,enveda-180
NGLXZSYTFGTKFT,NGLXZSYTFGTKFT,1,6,enveda-180
NGLZSEIDMBBGGA,NGLZSEIDMBBGGA,1,13,enveda-180
NGMAJAXFFKDNHX,NGMAJAXFFKDNHX,1,4,gnps
NGMAKCSJWSJFHP,NGMAKCSJWSJFHP,2,14,pluskal_ms2;enveda-180
NGMDDQBRLUVUSL,NGMDDQBRLUVUSL,1,8,enveda-180
NGMDVXWCKAHSHR,NGMDVXWCKAHSHR,1,4,enveda-180
NGMHIWMVCXENLR,NGMHIWMVCXENLR,1,1,gnps
NGMLDNFQWNMCAS,NGMLDNFQWNMCAS,1,3,enveda-180
NGMMALNASFGIFU,NGMMALNASFGIFU,1,5,pluskal_ms2
NGMNSPWEIRLPSA,NGMNSPWEIRLPSA,1,3,enveda-180
NGMNVPSTORFRAS,NGMNVPSTORFRAS,1,3,enveda-180
NGMOYPVNUSXTEA,NGMOYPVNUSXTEA,1,2,gnps
NGMQJZCKXKTQID,NGMQJZCKXKTQID,4,46,riken;mona;gnps;msdial
NGMRWHOYXIQNSV,NGMRWHOYXIQNSV,1,5,enveda-180
NGMSBFQKCUYDBF,NGMSBFQKCUYDBF,1,5,pluskal_ms2
NGMSNWFPXDOMSZ,NGMSNWFPXDOMSZ,1,6,enveda-180
NGMUIIWIVBDEDS,NGMUIIWIVBDEDS,1,1,gnps
NGMWCJFNBGFMID,NGMWCJFNBGFMID,1,3,enveda-180
NGMWQXPCHSUBFZ,NGMWQXPCHSUBFZ,1,8,enveda-180
NGMWSFWBNOLDHC,NGMWSFWBNOLDHC,1,3,enveda-180
NGMXHRHXWMWIEI,NGMXHRHXWMWIEI,1,4,enveda-180
NGMXXFHLZIERLP,NGMXXFHLZIERLP,1,7,enveda-180
NGMYNFJANBHLKA,NGMYNFJANBHLKA,4,34,riken;pluskal_ms2;gnps;msdial
NGNALWDRPKNJGR,NGNALWDRPKNJGR,1,1,gnps
NGNDMPPGLGNGJJ,NGNDMPPGLGNGJJ,1,4,enveda-180
NGNIVJLYODSVBB,NGNIVJLYODSVBB,1,4,enveda-180
NGNJVAIIUPIAIO,NGNJVAIIUPIAIO,1,1,enveda-180
NGNKGKGBZYIQKD,NGNKGKGBZYIQKD,1,4,enveda-180
NGNMVXFBFBZQAG,NGNMVXFBFBZQAG,4,21,pluskal_ms2;mona;riken;gnps
NGNOFEPJZNXTHF,NGNOFEPJZNXTHF,1,3,enveda-180
NGNPFRJDPBLCHW,NGNPFRJDPBLCHW,1,5,enveda-180
NGNPSEDAAUPYNF,NGNPSEDAAUPYNF,1,8,enveda-180
NGNQJVYZJDPXLK,NGNQJVYZJDPXLK,1,5,pluskal_ms2
NGNSXGFPHWTKHG,NGNSXGFPHWTKHG,1,5,enveda-180
NGNVBLDREFZBKV,NGNVBLDREFZBKV,1,6,enveda-180
NGNVNVZTBBELPN,NGNVNVZTBBELPN,1,8,enveda-180
NGNVVVCTKMMMRK,NGNVVVCTKMMMRK,1,8,pluskal_ms2
NGNWGPKCPQNFAX,NGNWGPKCPQNFAX,1,9,enveda-180
NGNWJSGSSIEQDG,NGNWJSGSSIEQDG,1,3,enveda-180
NGNYILCFHHWPMG,NGNYILCFHHWPMG,1,8,pluskal_ms2
NGOFDYKRKVTNMQ,NGOFDYKRKVTNMQ,1,57,riken
NGOFKWNARKPJBC,NGOFKWNARKPJBC,1,6,enveda-180
NGOFNGFMNKJRFS,NGOFNGFMNKJRFS,1,4,enveda-180
NGOGFTYYXHNFQH,NGOGFTYYXHNFQH,3,20,pluskal_ms2;gnps;drug_plus
NGOGYGTUBKNVQX,NGOGYGTUBKNVQX,1,36,pluskal_ms2
NGOHUJIGDLHJFP,NGOHUJIGDLHJFP,1,6,enveda-180
NGOIILVUQWIWAM,NGOIILVUQWIWAM,1,5,enveda-180
NGOJABXFWAEYIA,NGOJABXFWAEYIA,1,6,enveda-180
NGOJCFJLHHADFE,NGOJCFJLHHADFE,1,6,enveda-180
NGOJCHBWDWNEDD,NGOJCHBWDWNEDD,1,11,enveda-180
NGOLMNWQNHWEKU,RYHLQSVMWLBCJO,7,80,riken;mona;enveda-np-examples;gnps;massbank;pluskal_ms2;msdial
NGORWBKSYVETLF,NGORWBKSYVETLF,1,8,enveda-180
NGOUMANGCBUSNL,NGOUMANGCBUSNL,1,7,pluskal_ms2
NGOUYFCEAIKMDM,NGOUYFCEAIKMDM,1,4,enveda-180
NGOVWGLEDLONRL,NGOVWGLEDLONRL,2,9,pluskal_ms2;gnps
NGOXJHQCAMAAPN,NGOXJHQCAMAAPN,1,3,enveda-180
NGOXWLOONFBVJA,NGOXWLOONFBVJA,1,5,pluskal_ms2
NGOYSMHIUFQTJT,NGOYSMHIUFQTJT,1,9,enveda-180
NGPAWJURTZBBPS,NGPAWJURTZBBPS,1,4,enveda-180
NGPDQWFWZNXVLZ,NGPDQWFWZNXVLZ,3,3,mona;msdial;riken
NGPDZEACIWDCKX,NGPDZEACIWDCKX,3,167,riken;mona;msdial
NGPGGVCMVFMTHI,NGPGGVCMVFMTHI,1,2,enveda-180
NGPGSVOZDHJAHM,NGPGSVOZDHJAHM,1,5,pluskal_ms2
NGPHUAVENUDDAO,NGPHUAVENUDDAO,1,62,spectraverse
NGPONDCWRZQZES,NGPONDCWRZQZES,1,16,pluskal_ms2
NGPOOYZPOZMUHF,NGPOOYZPOZMUHF,1,2,enveda-180
NGPPKUOOICVQET,NGPPKUOOICVQET,1,12,enveda-180
NGPPQTYEWONZND,NGPPQTYEWONZND,1,12,enveda-180
NGPPYWDSJZRBSH,NGPPYWDSJZRBSH,1,2,enveda-180
NGPQNIPJQWIRIF,NGPQNIPJQWIRIF,1,1,enveda-180
NGPSEHLIPKBMFC,NGPSEHLIPKBMFC,1,12,enveda-180
NGPUPIFZLISNFK,NGPUPIFZLISNFK,1,11,enveda-180
NGPVVGFPFVYQKW,NGPVVGFPFVYQKW,1,4,enveda-180
NGPWISBIANQUGS,NGPWISBIANQUGS,1,5,enveda-180
NGPWNNFKFXWFOB,NGPWNNFKFXWFOB,1,3,enveda-180
NGQCLCZMPCCOAN,NGQCLCZMPCCOAN,1,5,pluskal_ms2
NGQFYTLKTWJCQD,NGQFYTLKTWJCQD,1,7,enveda-180
NGQKDAFZTQRYCQ,NGQKDAFZTQRYCQ,1,8,enveda-180
NGQLYJBLXOSGKD,NGQLYJBLXOSGKD,1,2,enveda-180
NGQPRVWTFNBUHA,NGQPRVWTFNBUHA,1,19,pluskal_ms2
NGQQNLCARHWGLX,NGQQNLCARHWGLX,1,8,enveda-180
NGQQVTXWGWPJBN,NGQQVTXWGWPJBN,1,8,enveda-180
NGQRMBFZTJOLJE,NGQRMBFZTJOLJE,1,8,enveda-180
NGQUJKFCEVVQHA,NGQUJKFCEVVQHA,1,7,pluskal_ms2
NGQVWZPTWQUYRU,NGQVWZPTWQUYRU,1,4,enveda-180
NGQWHHCKIBAQRW,NGQWHHCKIBAQRW,1,8,enveda-180
NGQWROPIDWMOEN,NGQWROPIDWMOEN,1,4,enveda-180
NGQXHWYPSUYJRV,NGQXHWYPSUYJRV,1,4,enveda-180
NGQXJSTYWWTPOG,NGQXJSTYWWTPOG,5,45,gnps;massbank;mona;riken;msdial
NGQXRZQUAVTGDA,NGQXRZQUAVTGDA,1,12,enveda-180
NGQXZRFIYDWRHD,NGQXZRFIYDWRHD,1,4,enveda-180
NGQYHVNZKCZUFK,NGQYHVNZKCZUFK,1,8,enveda-180
NGQYRKHKFBYIOV,NGQYRKHKFBYIOV,1,13,enveda-180
NGRAIMFUWGFAEM,NGRAIMFUWGFAEM,3,3,mona;msdial;riken
NGRAVDWYVUBOMT,NGRAVDWYVUBOMT,1,2,gnps
NGRBZLIFZFUWGF,NGRBZLIFZFUWGF,1,4,enveda-180
NGRFLIHPDFSRKC,NGRFLIHPDFSRKC,1,3,enveda-180
NGRHTCMPVYXFHW,NGRHTCMPVYXFHW,1,8,enveda-180
NGRIOSGZSJDPOP,NGRIOSGZSJDPOP,1,7,enveda-180
NGRMNGAGQYRYKN,NGRMNGAGQYRYKN,1,1,gnps
NGRMTDAOIZYJHM,NGRMTDAOIZYJHM,1,1,enveda-180
NGROAMYEFLMTNO,NGROAMYEFLMTNO,1,1,gnps
NGROIZSHBGXMTB,NGROIZSHBGXMTB,1,56,riken
NGRRMJRCMZXZJI,NGRRMJRCMZXZJI,1,7,enveda-180
NGRRXMZEVSBATO,NGRRXMZEVSBATO,5,76,riken;mona;gnps;pluskal_ms2;msdial
NGRWMTIDCSTQOO,NGRWMTIDCSTQOO,1,1,spectraverse
NGRZJJFMJFVPSJ,NGRZJJFMJFVPSJ,1,4,enveda-180
NGSBWIYTLHSFEB,NGSBWIYTLHSFEB,1,1,spectraverse
NGSCXLPAQKLFEH,NGSCXLPAQKLFEH,1,58,riken
NGSGULHNRDVVJD,NGSGULHNRDVVJD,1,4,enveda-180
NGSHEKBZRDEZBD,NGSHEKBZRDEZBD,1,2,msdial
NGSJSKMZKDZLNS,NGSJSKMZKDZLNS,1,4,enveda-180
NGSOBLOFWYIQFW,NGSOBLOFWYIQFW,1,8,enveda-180
NGSPUBBFOZMALJ,NGSPUBBFOZMALJ,1,4,enveda-180
NGSQWGNVDGOWEV,NGSQWGNVDGOWEV,1,8,enveda-180
NGSSMHGQXUHDCV,NGSSMHGQXUHDCV,1,16,enveda-180
NGSSPTNWSOBHAR,NGSSPTNWSOBHAR,2,13,pluskal_ms2;gnps
NGSVDHPIZGPIIN,NGSVDHPIZGPIIN,1,6,enveda-180
NGSWKAQJJWESNS,NGSWKAQJJWESNS,8,315,gnps;massbank;riken;msdial;mona;pluskal_ms2;enveda-np-examples;drug_plus
NGSZTMFYLOILNB,NGSZTMFYLOILNB,1,4,enveda-180
NGTBXWDYZCBIHG,NGTBXWDYZCBIHG,1,9,enveda-180
NGTDJJKTGRNNAU,NGTDJJKTGRNNAU,1,5,pluskal_ms2
NGTDKFVURFKIJJ,NGTDKFVURFKIJJ,1,8,enveda-180
NGTHIBFWOPPSSB,NGTHIBFWOPPSSB,3,8,mona;riken;msdial
NGTIEWIQHNSNLQ,NGTIEWIQHNSNLQ,1,24,pluskal_ms2
NGTJFKGQJZQRNJ,NGTJFKGQJZQRNJ,1,5,enveda-180
NGTJUDHSIVXGMU,NGTJUDHSIVXGMU,1,8,pluskal_ms2
NGTLHFRRZMWGNG,NGTLHFRRZMWGNG,1,13,pluskal_ms2
NGTNXDYABSWMRK,NGTNXDYABSWMRK,1,8,enveda-180
NGTQGIQBGFCNOR,NGTQGIQBGFCNOR,3,3,mona;msdial;riken
NGTRLUGAXURGRO,NGTRLUGAXURGRO,1,12,pluskal_ms2
NGTSCFWCPUQDBH,NGTSCFWCPUQDBH,1,12,enveda-180
NGTSRFJHFKEKPL,NGTSRFJHFKEKPL,1,8,gnps
NGTWHKADVCZGSL,NGTWHKADVCZGSL,1,8,enveda-180
NGTXKAGPSMEDBL,NGTXKAGPSMEDBL,2,6,pluskal_ms2;gnps
NGTZPLAYHGHWCS,NGTZPLAYHGHWCS,1,3,enveda-180
NGTZYHBMYGOTNB,NGTZYHBMYGOTNB,1,2,enveda-180
NGUBOVMSRLGFHW,NGUBOVMSRLGFHW,1,9,enveda-180
NGUCLTFSWDODCG,NGUCLTFSWDODCG,1,8,pluskal_ms2
NGUDDSINNZMIKH,NGUDDSINNZMIKH,1,5,enveda-180
NGUFSZISVHTUGY,NGUFSZISVHTUGY,1,8,pluskal_ms2
NGUFYNZFCHZTFU,NGUFYNZFCHZTFU,1,3,enveda-180
NGUGHCRMWIKICS,NGUGHCRMWIKICS,1,1,gnps
NGUJATDHEPVBPA,NGUJATDHEPVBPA,1,1,gnps
NGUKYKKCDLJXHT,NGUKYKKCDLJXHT,1,8,enveda-180
NGUMEXMYZZVPLC,NGUMEXMYZZVPLC,1,2,enveda-180
NGUMTVQOLLJILP,NGUMTVQOLLJILP,1,6,enveda-180
NGUOJDVLQMXNRH,NGUOJDVLQMXNRH,1,7,enveda-180
NGURCNJMFHZYFZ,NGURCNJMFHZYFZ,1,4,enveda-180
NGUSMSQYMDPBGF,NGUSMSQYMDPBGF,5,72,riken;pluskal_ms2;gnps;mona;msdial
NGUTZQHOVSCLSS,NGUTZQHOVSCLSS,1,4,enveda-180
NGUULKZQDAGQKM,NGUULKZQDAGQKM,1,1,gnps
NGUUTWXGTJMSHG,NGUUTWXGTJMSHG,1,4,enveda-180
NGUUUUUEXIGQLU,NGUUUUUEXIGQLU,1,8,enveda-180
NGUUVSBBHUKRDV,NGUUVSBBHUKRDV,1,4,enveda-180
NGUXATVFTPPUIG,NGUXATVFTPPUIG,1,8,enveda-180
NGUXHRYAUPDRMO,NGUXHRYAUPDRMO,1,4,enveda-180
NGUXWJRIRFFRCR,NGUXWJRIRFFRCR,1,3,gnps
NGUYOURRVMLBIS,NGUYOURRVMLBIS,1,6,enveda-180
NGUYTUURGDYPNJ,NGUYTUURGDYPNJ,1,5,pluskal_ms2
NGUZXSUJFFRBHM,NGUZXSUJFFRBHM,1,9,enveda-180
NGVDGCNFYWLIFO,NGVDGCNFYWLIFO,7,118,gnps;massbank;riken;mona;msdial;pluskal_ms2;drug_plus
NGVDPUVYXGRNMP,NGVDPUVYXGRNMP,1,7,enveda-180
NGVFWBPHUCHPNP,NGVFWBPHUCHPNP,1,13,enveda-180
NGVIOKFZAIRFRI,NGVIOKFZAIRFRI,1,8,pluskal_ms2
NGVIVAWHYYQWQK,NGVIVAWHYYQWQK,1,8,pluskal_ms2
NGVLEQPKHLWZLN,NGVLEQPKHLWZLN,2,5,msdial;gnps
NGVLYLRLONLXLN,NGVLYLRLONLXLN,1,4,enveda-180
NGVPLYLVRDSJDC,NGVPLYLVRDSJDC,1,2,enveda-180
NGVQANWFGWEXOQ,NGVQANWFGWEXOQ,1,4,enveda-180
NGVSVDMUWJBRFG,NGVSVDMUWJBRFG,1,13,enveda-180
NGVUWNJTRRYFGC,NGVUWNJTRRYFGC,1,6,enveda-180
NGVVBTJJRFRDQK,NGVVBTJJRFRDQK,1,9,enveda-180
NGWAUJSQJOWJPF,NGWAUJSQJOWJPF,1,8,enveda-180
NGWBUPCZMMDSAQ,NGWBUPCZMMDSAQ,1,14,enveda-180
NGWCXFDQYINMFQ,NGWCXFDQYINMFQ,1,4,enveda-180
NGWGKSNABUYOMS,NGWGKSNABUYOMS,1,3,enveda-180
NGWGPIGOKWABQK,NGWGPIGOKWABQK,1,6,enveda-180
NGWGVNKWZALWFL,NGWGVNKWZALWFL,1,16,massbank
NGWIKFZBXMPQOI,NGWIKFZBXMPQOI,1,11,enveda-180
NGWJEBJNIRTCJA,NGWJEBJNIRTCJA,1,8,enveda-180
NGWJZXQVWSNGTJ,NGWJZXQVWSNGTJ,1,5,enveda-180
NGWKXWCZZCWYMW,NGWKXWCZZCWYMW,1,2,enveda-180
NGWLEVXPPLCHNC,NGWLEVXPPLCHNC,3,44,mona;riken;gnps
NGWMCQDLICPKDT,NGWMCQDLICPKDT,1,12,enveda-180
NGWMRUHCIWGDSQ,NGWMRUHCIWGDSQ,1,8,enveda-180
NGWPMZBELRIEHM,NGWPMZBELRIEHM,1,7,enveda-180
NGWQCKRNPGFERS,NGWQCKRNPGFERS,1,8,enveda-180
NGWQZRWVYYFTHC,NGWQZRWVYYFTHC,2,16,pluskal_ms2;gnps
NGWRTMWKLOPVRM,NGWRTMWKLOPVRM,1,1,spectraverse
NGWSFRIPKNWYAO,NGWSFRIPKNWYAO,4,7,gnps;drug_plus;mona;riken
NGWSHUMHHDDWAH,NGWSHUMHHDDWAH,1,3,enveda-180
NGWTUCSEOQARHI,NGWTUCSEOQARHI,1,9,enveda-180
NGWVYOWTXSIDQF,NGWVYOWTXSIDQF,1,1,gnps
NGWXAKOGICUJKQ,NGWXAKOGICUJKQ,1,4,enveda-180
NGXAKQPFJLZDGS,NGXAKQPFJLZDGS,1,4,enveda-180
NGXALRODBSASGL,NGXALRODBSASGL,1,3,enveda-180
NGXAYDNHWQSDSV,NGXAYDNHWQSDSV,1,4,gnps
NGXBHBHXEHMBQV,NGXBHBHXEHMBQV,1,4,enveda-180
NGXBNUBKGNITKG,NGXBNUBKGNITKG,2,9,pluskal_ms2;gnps
NGXDKKXSQQJVAL,NGXDKKXSQQJVAL,1,10,enveda-180
NGXGOEVUCZSBHH,NGXGOEVUCZSBHH,1,4,enveda-180
NGXHJEBLMJISCN,NGXHJEBLMJISCN,1,2,gnps
NGXJUQIFTQTMQW,NGXJUQIFTQTMQW,1,24,pluskal_ms2
NGXJXKFUFXNTDC,NGXJXKFUFXNTDC,1,13,pluskal_ms2
NGXLRAKBGURHFI,NGXLRAKBGURHFI,1,10,enveda-180
NGXMMJUEDRSMER,NGXMMJUEDRSMER,1,8,enveda-180
NGXNNIAWBMWYRR,NGXNNIAWBMWYRR,1,1,spectraverse
NGXPQTQCFFIOSN,NGXPQTQCFFIOSN,1,11,pluskal_ms2
NGXQVEMMJSYNNL,NGXQVEMMJSYNNL,3,23,pluskal_ms2;enveda-180;gnps
NGXQXGRQNKMYTR,NGXQXGRQNKMYTR,1,9,enveda-180
NGXUBMRNDJSKLC,NGXUBMRNDJSKLC,1,2,enveda-180
NGXUKGQARXXMDD,NGXUKGQARXXMDD,1,2,gnps
NGXVGIJMSMJWIT,NGXVGIJMSMJWIT,1,5,enveda-180
NGXWUMGSUOBJFI,NGXWUMGSUOBJFI,1,4,enveda-180
NGXYTGSJMGWGCS,NGXYTGSJMGWGCS,1,3,enveda-180
NGXYWZTWIJUWGU,NGXYWZTWIJUWGU,1,7,enveda-180
NGXZJNCZLGFACC,NGXZJNCZLGFACC,1,3,enveda-180
NGYBFDMQJKAHNW,NGYBFDMQJKAHNW,1,7,enveda-180
NGYFSVAPTGHLOI,NGYFSVAPTGHLOI,1,2,enveda-180
NGYGBLRDABVVKJ,NGYGBLRDABVVKJ,1,3,enveda-180
NGYGCROSNWFYMM,NGYGCROSNWFYMM,1,5,enveda-180
NGYGIWZKSSCSRH,NGYGIWZKSSCSRH,1,13,enveda-180
NGYHJTPXOZROTE,NGYHJTPXOZROTE,1,4,enveda-180
NGYKFCMUULICIX,NGYKFCMUULICIX,1,3,enveda-180
NGYLGCREPGMJNT,NGYLGCREPGMJNT,1,3,enveda-180
NGYLJVFFDCVTSN,NGYLJVFFDCVTSN,1,1,gnps
NGYNBSHYFOFVLS,NGYNBSHYFOFVLS,2,28,pluskal_ms2;gnps
NGYNPSIXBSXDKI,NGYNPSIXBSXDKI,1,4,enveda-180
NGYOAZMYTIAOTI,NGYOAZMYTIAOTI,1,8,pluskal_ms2
NGYOCTUHSUBUKW,NGYOCTUHSUBUKW,1,6,pluskal_ms2
NGYODAVQMOUNNS,NGYODAVQMOUNNS,1,17,enveda-180
NGYPBXHWSFOWOA,NGYPBXHWSFOWOA,1,4,enveda-180
NGYQJGGSZWQMTJ,NGYQJGGSZWQMTJ,1,3,gnps
NGYRYQWGVKFZRK,NGYRYQWGVKFZRK,1,7,enveda-180
NGYSKYDCXSVBHL,NGYSKYDCXSVBHL,1,15,enveda-180
NGYSUSIPTIPZLD,NGYSUSIPTIPZLD,1,8,enveda-180
NGYUMTWLMYOZBF,NGYUMTWLMYOZBF,1,2,enveda-180
NGYWQHJFZDZQDK,NGYWQHJFZDZQDK,1,8,enveda-180
NGYXHQKTFCBCAA,NGYXHQKTFCBCAA,1,5,enveda-180
NGYZDTCCVYNXRN,NGYZDTCCVYNXRN,1,7,enveda-180
NGYZGJRLMQYTFT,NGYZGJRLMQYTFT,1,8,pluskal_ms2
NGZAPHYVEWUVJV,NGZAPHYVEWUVJV,1,4,enveda-180
NGZDCEKBDYHMBE,NGZDCEKBDYHMBE,1,10,pluskal_ms2
NGZDWBMKUJSLPV,NGZDWBMKUJSLPV,1,8,enveda-180
NGZFVFVUDCIECN,NGZFVFVUDCIECN,1,6,enveda-180
NGZHXRWBKUECBU,NGZHXRWBKUECBU,1,4,enveda-180
NGZJHMIZKBRLHZ,NGZJHMIZKBRLHZ,1,7,enveda-180
NGZJZSHGPSUVMW,NGZJZSHGPSUVMW,1,4,enveda-180
NGZKPZOWOCFBEQ,NGZKPZOWOCFBEQ,1,1,gnps
NGZKRTPPXCMXLM,NGZKRTPPXCMXLM,1,8,enveda-180
NGZLBIMADMJLBN,NGZLBIMADMJLBN,1,7,enveda-180
NGZLBWGAHAPFKY,NGZLBWGAHAPFKY,1,4,enveda-180
NGZLVEJUTKACGC,NGZLVEJUTKACGC,1,9,enveda-180
NGZLVEMPAJAYGX,NGZLVEMPAJAYGX,1,2,enveda-180
NGZMQYXWABEENU,NGZMQYXWABEENU,1,6,enveda-180
NGZOTUXLPLVKSH,NGZOTUXLPLVKSH,1,3,enveda-180
NGZOWXBKBMVZNO,NGZOWXBKBMVZNO,1,6,spectraverse
NGZVSLDQFUUQTR,NGZVSLDQFUUQTR,1,4,gnps
NGZXDRGWBULKFA,NGZXDRGWBULKFA,1,3,gnps
NGZXSLAZHCWLMD,NGZXSLAZHCWLMD,1,4,enveda-180
NGZYTGUCQULGBX,NGZYTGUCQULGBX,1,4,enveda-180
NHACINDVASVUHL,NHACINDVASVUHL,1,7,enveda-180
NHACLIDNGLDUMN,NHACLIDNGLDUMN,1,1,gnps
NHAFYGMKGLAVPH,NHAFYGMKGLAVPH,2,2,mona;riken
NHAHPXNBMCGQCF,NHAHPXNBMCGQCF,1,7,enveda-180
NHAJPASXWPHULH,NHAJPASXWPHULH,1,11,enveda-180
NHALLCWPCVKWCJ,NHALLCWPCVKWCJ,1,1,gnps
NHALSSPUKREPAM,NHALSSPUKREPAM,1,5,pluskal_ms2
NHAMBLRUUJAFOY,NHAMBLRUUJAFOY,1,11,pluskal_ms2
NHANBRGFHLSHFU,NHANBRGFHLSHFU,1,18,pluskal_ms2
NHANKPYHANHANT,NHANKPYHANHANT,1,1,gnps
NHANLOROOUMMSH,NHANLOROOUMMSH,1,11,enveda-180
NHANSSSZCNPWIT,NHANSSSZCNPWIT,1,8,enveda-180
NHAQMBHZVVHPGS,NHAQMBHZVVHPGS,1,10,enveda-180
NHAQNKDEUQPSIX,QJURWFAEWPOWTR,3,9,pluskal_ms2;mona;riken
NHARBXOUIGYYGO,NHARBXOUIGYYGO,1,3,enveda-180
NHARZMVLYNWWMI,NHARZMVLYNWWMI,1,7,enveda-180
NHASMYWUWGQGLK,NHASMYWUWGQGLK,1,14,enveda-180
NHAWQGGRKKAIHY,NHAWQGGRKKAIHY,1,6,enveda-180
NHAWSIJGXKILDE,NHAWSIJGXKILDE,1,11,enveda-180
NHAZHVHSOFQXPK,NHAZHVHSOFQXPK,1,3,enveda-180
NHAZLIBFOPOEID,NHAZLIBFOPOEID,1,6,enveda-180
NHBBXBRWGFIBJK,NHBBXBRWGFIBJK,1,4,enveda-180
NHBDKOOKRZYBRK,NHBDKOOKRZYBRK,1,1,gnps
NHBDTEIAYYTWPN,NHBDTEIAYYTWPN,1,8,enveda-180
NHBGWIKCWMIIOT,NHBGWIKCWMIIOT,1,8,enveda-180
NHBHQENUOJBMKA,NHBHQENUOJBMKA,1,10,enveda-180
NHBJTNIRLWPQMQ,NHBJTNIRLWPQMQ,1,18,pluskal_ms2
NHBKDLSKDKUGSB,NHBKDLSKDKUGSB,2,10,pluskal_ms2;gnps
NHBLPUMFOUBHNC,NHBLPUMFOUBHNC,1,10,enveda-180
NHBMKIGVHJVFTL,NHBMKIGVHJVFTL,1,2,gnps
NHBMQSRWEYUENY,NHBMQSRWEYUENY,1,1,gnps
NHBNAMRVBWRRAL,NHBNAMRVBWRRAL,1,52,spectraverse
NHBNVBFCKVUNQT,NHBNVBFCKVUNQT,1,5,enveda-180
NHBOGSKKAKJKDV,NHBOGSKKAKJKDV,1,4,enveda-180
NHBOWWSCZJXUBS,NHBOWWSCZJXUBS,1,4,enveda-180
