inchikey14,metric_ik14,heavy_atom_comp,tautomer_shifted
QWFQUIHIEIJMIE,QWFQUIHIEIJMIE,C18N4O2,False
QWFUKGUKNWYLHK,QWFUKGUKNWYLHK,C13N3O2,False
QWFUSBRFXCVQTN,QWFUSBRFXCVQTN,C20N2O3,False
QWFWXDIGPALGEL,QWFWXDIGPALGEL,C17F3N5O2,False
QWFZPBCBQNCPJA,QWFZPBCBQNCPJA,C21Cl1N3O3,False
QWGBHLCXHTZLKG,QWGBHLCXHTZLKG,C20N3O5S1,False
QWGBRHJJTOFITI,QWGBRHJJTOFITI,C14N2O4S2,False
QWGCFVBATALVAQ,QWGCFVBATALVAQ,C20N2,False
QWGDILVDKZASLP,QWGDILVDKZASLP,C63O6,False
QWGDMFLQWFTERH,QWGDMFLQWFTERH,C17Cl1N3O1,False
QWGDUDWZHDWURY,QWGDUDWZHDWURY,C21N5O2,False
QWGFLCBRZTUHGY,QWGFLCBRZTUHGY,Br1C13F1N2O2S1,False
QWGHKKLFVCGNKI,QWGHKKLFVCGNKI,C21N3O2S1,False
QWGJYWKJIMUQBB,QWGJYWKJIMUQBB,C13Cl1F1N2O2S2,False
QWGLMNHFFOAGHP,QWGLMNHFFOAGHP,Br1C12F3N2O2,False
QWGLVGLIICSQBY,QWGLVGLIICSQBY,C14N1O2S1,False
QWGMDVGCXUZRRJ,QWGMDVGCXUZRRJ,C17N1O5,False
QWGNMILYFPWHED,QWGNMILYFPWHED,C18N3S1,False
QWGOFGTYIAHVCS,QWGOFGTYIAHVCS,C20Cl1N3O2,False
QWGQBRRLPVZLLR,QWGQBRRLPVZLLR,C16N3O1,False
QWGROUKNEOUONK,QWGROUKNEOUONK,C25N3O1,False
QWGSDOVLBQHZJO,QWGSDOVLBQHZJO,C14N5O1,False
QWGVGEOWZHZUIQ,QWGVGEOWZHZUIQ,C14N3O1,False
QWGZBZIIRQULRL,QWGZBZIIRQULRL,C16N5O2,False
QWHAMOUQXMDIOW,QWHAMOUQXMDIOW,C16F3N3O1,False
QWHAXSXSRSVUIY,QWHAXSXSRSVUIY,C13N4O1,False
QWHCSQQIWPLHTK,QWHCSQQIWPLHTK,C16N3O2S1,False
QWHCTNMPJHJXFG,QWHCTNMPJHJXFG,C17N4O3,False
QWHDVNNAIUWZRF,QWHDVNNAIUWZRF,C19N4O2,False
QWHFYLUGYCGXJJ,QWHFYLUGYCGXJJ,C12N2O3S1,False
QWHGMWMUIBAVEN,QWHGMWMUIBAVEN,C22N2O4S1,False
QWHGULGYIKMKRX,QWHGULGYIKMKRX,C15N2O4,False
QWHHLBYYLFYJDR,QWHHLBYYLFYJDR,C17N3O2S1,False
QWHHXXKDVYVCTH,QWHHXXKDVYVCTH,C17Cl1N4O1,False
QWHJRNZUGBTSGU,QWHJRNZUGBTSGU,C17N3O4,False
QWHLQMANSLVIFM,QWHLQMANSLVIFM,C19N5O7,False
QWHRCJMGRYFWNC,QWHRCJMGRYFWNC,C18N4O3,False
QWHRUDDWVAXUOO,QWHRUDDWVAXUOO,C14N1O4,False
QWHUXEBEYBCRPD,QWHUXEBEYBCRPD,C21N4O3,False
QWHVVUULYLGPBY,QWHVVUULYLGPBY,C17N3O3,False
QWHXINBZKLUIOP,QWHXINBZKLUIOP,C18N3O2,False
QWHXOUINPMNNPU,QWHXOUINPMNNPU,C13N1O5,False
QWHYAQYRXPHJFB,QWHYAQYRXPHJFB,C18N4O1S1,False
QWIAKYYSCRGSEY,QWIAKYYSCRGSEY,C14N2O3,False
QWIAPPMKZSMNDT,KGPGFOOMGBIDAK,C22N2O2,True
QWIHLPNENPFCHV,QWIHLPNENPFCHV,C18F3N1O3S1,False
QWIHZTRHAWQQIU,QWIHZTRHAWQQIU,C14N2O4,False
QWIIAMGOMSLTEJ,QWIIAMGOMSLTEJ,C13N2O3,False
QWIIMPZCAHKLAC,QWIIMPZCAHKLAC,C16F2N4O2,False
QWIKBXNABTWBLS,QWIKBXNABTWBLS,C17N2O3,False
QWIKKLTVQIWAMD,QWIKKLTVQIWAMD,C17Cl1N3O3,False
QWIKNQROJXWLCQ,QWIKNQROJXWLCQ,C13N1O2,False
QWILFNYNJWGEFI,QWILFNYNJWGEFI,C17N3O4,False
QWINDTDLHGJJRL,QWINDTDLHGJJRL,C13Cl1N3O3,False
QWIPJBRBYKZGSY,QWIPJBRBYKZGSY,C17N6O1,False
QWIRGHYGINHLFE,QWIRGHYGINHLFE,C20N1O1,False
QWIWBVKUMVJBHT,QWIWBVKUMVJBHT,C20F1N6O2,False
QWIZNVHXZXRPDR,QWIZNVHXZXRPDR,C18O16,False
QWJAZOULUCYQGM,QWJAZOULUCYQGM,C18N4O3,False
QWJBLNQJNFDNJP,QWJBLNQJNFDNJP,C28N3O2,False
QWJCARHLFMTYKB,QWJCARHLFMTYKB,C18N5O3,False
QWJIWJWEGVAMEB,QWJIWJWEGVAMEB,C8N2O2,False
QWJMKVKWFUSJJI,QWJMKVKWFUSJJI,C19F1N1O2,False
QWJNEIOKTKADGE,QWJNEIOKTKADGE,C21N3O4,False
QWJPWUKXLTVYFV,QWJPWUKXLTVYFV,C11F1N4O2S1,False
QWJQXTUGJVUTGI,QWJQXTUGJVUTGI,C33N2O3,False
QWJSTLUFNIKRJU,QWJSTLUFNIKRJU,C17N5O3,False
QWJUEWOONSIDND,QWJUEWOONSIDND,C15N5O2,False
QWJVCIONEBKMSJ,QWJVCIONEBKMSJ,C18N3O2S1,False
QWJVHLKUOSQDLL,QWJVHLKUOSQDLL,C23N3O1,False
QWJWIXLDANJPBI,QWJWIXLDANJPBI,C18N3O3,False
QWJYZZSGAWCYRR,QWJYZZSGAWCYRR,Br1C15N1O4,False
QWJZPQKOYTWDRM,QWJZPQKOYTWDRM,C46N1O8,False
QWKAHPGKRHHXIK,VKOYJFNWCXOZFA,C22Cl1N1O6,True
QWKAUGRRIXBIPO,QWKAUGRRIXBIPO,C29F1N3O5,False
QWKGKLNRPXQMGP,QWKGKLNRPXQMGP,C16N3O2,False
QWKGMGBIRCCRPV,QWKGMGBIRCCRPV,C16F3N1O2S1,False
QWKHCMCFWYOEIX,QWKHCMCFWYOEIX,C16Cl1N4O3,False
QWKHJYQTROFMJT,QWKHJYQTROFMJT,C14N4O2S2,False
QWKICBOXQQPEGP,QWKICBOXQQPEGP,C18N3O2,False
QWKJGIUBSZVZDN,QWKJGIUBSZVZDN,C17N5O1,False
QWKJUZBCHHXAKP,QWKJUZBCHHXAKP,C14N1O4S1,False
QWKKOAHNRCVFMA,QWKKOAHNRCVFMA,C18N2O4S2,False
QWKKYJLAUWFPDB,QWKKYJLAUWFPDB,C6N2O4S1,False
QWKKZWNRUNEZEU,QWKKZWNRUNEZEU,C14Cl1N2O2S1,False
QWKPXSMZNSVROM,QWKPXSMZNSVROM,C16N3O3,False
QWKQVEQRBDZCQX,QWKQVEQRBDZCQX,C13N6O1S1,False
QWKRKSXKYVLVAJ,QWKRKSXKYVLVAJ,C19N3O2,False
QWKSOOIPAXTSGJ,QWKSOOIPAXTSGJ,C19N3O4S1,False
QWKUFCIPXLNCKS,QWKUFCIPXLNCKS,C14N4O4S1,False
QWKUSAJJSBJMFX,QWKUSAJJSBJMFX,C16F4N2O2,False
QWKWEANHAXVNAP,QWKWEANHAXVNAP,C17N4O4,False
QWKXHOLADYBIPK,QWKXHOLADYBIPK,C18N4O3,False
QWLBVVCXOBJUEF,QWLBVVCXOBJUEF,C13F4N1O2,False
QWLHDDQIAXVIJX,QWLHDDQIAXVIJX,C19N3O2,False
QWLHJZUQMNDGMU,QWLHJZUQMNDGMU,C19N2O3S1,False
QWLHPCFSPXXGQT,QWLHPCFSPXXGQT,C15N4O3S1,False
QWLHSFULTXXQLE,QWLHSFULTXXQLE,C15O2S1,False
QWLJHALVGOAXCT,QWLJHALVGOAXCT,C14F2N4O3S1,False
QWLMIMULPNMNTR,QWLMIMULPNMNTR,C25N4O1,False
QWLNGJJPYGKNKX,QWLNGJJPYGKNKX,C21N3O1,False
QWLNINWUBHHOLU,QWLNINWUBHHOLU,C19F1N3O4,False
QWLOIEPDQLIZHY,QWLOIEPDQLIZHY,C14N2O2S1,False
QWLPLANJYDGYJA,QWLPLANJYDGYJA,C15F1N4O1S1,False
QWLPWRMJPKNGRE,QWLPWRMJPKNGRE,C17N1O4,False
QWLSYGQOXARTLJ,QWLSYGQOXARTLJ,C17N4O2,False
QWLXTMVODNDEAQ,QWLXTMVODNDEAQ,C14N5O1,False
QWLYBHHODVGYEW,QWLYBHHODVGYEW,C17Cl1N1O4,False
QWLZKSWZPIZISC,QWLZKSWZPIZISC,C17N5O1,False
QWMDCOUGVPVMFF,QWMDCOUGVPVMFF,C10N4O2S2,False
QWMDYNIEGNYUSY,QWMDYNIEGNYUSY,C12N1O3,False
QWMGPOSPZHMDMX,QWMGPOSPZHMDMX,C22N1O3,False
QWMHNRWZWMMEJE,QWMHNRWZWMMEJE,C14Cl1N2O3,False
QWMHQRYIUMWUSV,QWMHQRYIUMWUSV,C20N3O2,False
QWMICTKOXMSORC,QWMICTKOXMSORC,C19N2O3,False
QWMJWOLEUROLNE,QWMJWOLEUROLNE,C12N1O3,False
QWMLAHANKLWZEI,QWMLAHANKLWZEI,C17N3O2S1,False
QWMLNVJUENKQIO,QWMLNVJUENKQIO,C13Cl1N3O2S1,False
QWMMZRDXWREWMR,QWMMZRDXWREWMR,C14N3O2,False
QWMRAOPEIHNLNP,QWMRAOPEIHNLNP,C16N3O2,False
QWMSTCJJACVHRD,QWMSTCJJACVHRD,C12N4O1S1,False
QWMUKBOFMVZFIA,QWMUKBOFMVZFIA,C17N4O1S2,False
QWMYLPKXJLBOLP,QWMYLPKXJLBOLP,C18F1N3O2,False
QWNCAUFETMWNFZ,QWNCAUFETMWNFZ,C24N1O4,False
QWNDBGHARFZKRM,QWNDBGHARFZKRM,Br1C14N1O3S1,False
QWNDCKNRNRDIMJ,QWNDCKNRNRDIMJ,C17N3O3,False
QWNDNNSZWBZZAA,QWNDNNSZWBZZAA,C14Cl1N5O2,False
QWNGDWRZMGKIJC,QWNGDWRZMGKIJC,C15N5O2,False
QWNGFFLZIVMJFJ,QWNGFFLZIVMJFJ,C18N3O3,False
QWNGLKVMINOOFS,QWNGLKVMINOOFS,C20N2O1,False
QWNGLYVROPZASO,QWNGLYVROPZASO,C19N3O3,False
QWNIXUKPYQYELM,QWNIXUKPYQYELM,C16N5O2S1,False
QWNLHNXFQRMRHN,QWNLHNXFQRMRHN,C26N2O1,False
QWNNFYQUBPILCG,QWNNFYQUBPILCG,C14Cl1N3O3S1,False
QWNOIBFYFAJHDL,QWNOIBFYFAJHDL,C18N4O2S1,False
QWNQZWRFKIHTPL,QWNQZWRFKIHTPL,C20O7,False
QWNRGYILTJJEIK,QWNRGYILTJJEIK,C15N3O5,False
QWNRSVYKACFDGZ,QWNRSVYKACFDGZ,C15N2O2,False
QWNSNVREAGNURQ,QWNSNVREAGNURQ,C16N4O1,False
QWNSRPBIXOKAHC,QWNSRPBIXOKAHC,C19Cl1N2O4,False
QWNVTGATMWPWML,QWNVTGATMWPWML,C19N5O1,False
QWNWIKFCOGYETG,QWNWIKFCOGYETG,C16F3N3O4,False
QWOAZZSKIOUWKD,QWOAZZSKIOUWKD,C20F3N3O1,False
QWOCJKQJZNPUMC,QWOCJKQJZNPUMC,C14N1O3S1,False
QWODRJKIFHJGCA,QWODRJKIFHJGCA,C15F1N2O3S1,False
QWOFSLVNDLXELJ,QWOFSLVNDLXELJ,C14N4O2,False
QWOHBCDYALZBCM,QWOHBCDYALZBCM,C14N4O1S1,False
QWOJBUVGAJQSMX,QWOJBUVGAJQSMX,C13Cl1F1N1O5,False
QWOJMUCVQDTDRB,QWOJMUCVQDTDRB,C16F1N1O4S1,False
QWOOWICRLHINEW,QWOOWICRLHINEW,C14N4O3,False
QWOOYFHDIMZNEH,QWOOYFHDIMZNEH,C17N8,False
QWOPFCLUVIQIRE,QWOPFCLUVIQIRE,C16F1N4O2,False
QWOPGNRNMLWEIT,QWOPGNRNMLWEIT,C20Cl1F1N3O2,False
QWOPZGJYAYAVIH,QWOPZGJYAYAVIH,C15N2O2,False
QWOREROBKAZXKA,QWOREROBKAZXKA,C13F3N3O2S1,False
QWOSNRMLNPPUMB,QWOSNRMLNPPUMB,C16N3O1S1,False
QWOUHWKHTCIPCK,QWOUHWKHTCIPCK,C16N4O2S1,False
QWOUSSMYUMKTNH,QWOUSSMYUMKTNH,C22F2N2O3S1,False
QWOXGGUFEUJCEP,QWOXGGUFEUJCEP,C15N3O3S1,False
QWOXQPMTXHDIEA,QWOXQPMTXHDIEA,C20N3O3,False
QWOXSTGOGUNUGF,QWOXSTGOGUNUGF,C8N1O2,False
QWPCSMRKFZGAAN,QWPCSMRKFZGAAN,C17F1N4O1,False
QWPGPUXVBIMCLB,QWPGPUXVBIMCLB,C10F1N5O2S1,False
QWPISGJEVVFVIA,QWPISGJEVVFVIA,C16F3N2O3S1,False
QWPJBTNWIXBWPI,QWPJBTNWIXBWPI,C17N3O2,False
QWPMHHBRYYAMCN,QWPMHHBRYYAMCN,C17N1O7,False
QWPNLVBAEZJBMI,QWPNLVBAEZJBMI,C19O4,False
QWPONDGWWBBITQ,QWPONDGWWBBITQ,C19N4O3,False
QWPPRGHXKBATKL,QWPPRGHXKBATKL,C12F2N5O1,False
QWPRHWIXXWIHMG,QWPRHWIXXWIHMG,C14N3O3S1,False
QWPSKXLNZVLJHH,QWPSKXLNZVLJHH,C18N2O2,False
QWPVNGZHNGKIFM,QWPVNGZHNGKIFM,C13N2O5S1,False
QWPWUBAEKJMRQY,QWPWUBAEKJMRQY,C14Cl1F3N3O1,False
QWPWYTXZBRBLAE,QWPWYTXZBRBLAE,C19N3O4,False
QWPXBEHQFHACTK,QWPXBEHQFHACTK,C28Cl1N2O8,False
QWPYQAQZMKKYKM,QWPYQAQZMKKYKM,C29N2O3,False
QWQBARQGFUFPGA,QWQBARQGFUFPGA,C18N3O4,False
QWQBCZNSORFDRC,QWQBCZNSORFDRC,C21N1O4,False
QWQBHSVBSAZDQN,QWQBHSVBSAZDQN,C11N1O4,False
QWQBIZPSOUNDOS,QWQBIZPSOUNDOS,C18N6O2,False
QWQCEFPVZBIMOD,QWQCEFPVZBIMOD,C19F1N3O1,False
QWQCWLMBDFQIGW,QWQCWLMBDFQIGW,C15N3O1S1,False
QWQCZCSOBDDPDO,QWQCZCSOBDDPDO,C13N3O3,False
QWQFUQWGJUCFTC,QWQFUQWGJUCFTC,C26N1O5,False
QWQGGPPBEZKORD,QWQGGPPBEZKORD,C18N3O2,False
QWQGMMRHTWIOGH,QWQGMMRHTWIOGH,C15O4,False
QWQGPWJQKDTPEB,QWQGPWJQKDTPEB,C15N2O1S1,False
QWQGTRNMXRIJQP,QWQGTRNMXRIJQP,C18N1,False
QWQGVIJXNMEXJY,QWQGVIJXNMEXJY,C19N2O4S1,False
QWQHKLAXWWHUTL,QWQHKLAXWWHUTL,C15Cl1F1N6O1,False
QWQJOGGLVQGHHT,QWQJOGGLVQGHHT,C16N4O3S1,False
QWQODIRGXLPAEM,QWQODIRGXLPAEM,C18F1N3O2,False
QWQQHUHWDREYDF,QWQQHUHWDREYDF,C15F1N7O1,False
QWQQWAVGAOVCLQ,QWQQWAVGAOVCLQ,C22N4O3,False
QWQSMEDUZQDVLA,QWQSMEDUZQDVLA,C15O3,False
QWQZHIXNEGALCW,QWQZHIXNEGALCW,C16F3N4O1,False
QWRAZPIZRMGLEX,QWRAZPIZRMGLEX,C16N4O2,False
QWRBALBGUJOJQM,QWRBALBGUJOJQM,C17N5O2,False
QWRCKNHABXQISK,QWRCKNHABXQISK,C13N1O3S1,False
QWRDHRZNNOVTMU,QWRDHRZNNOVTMU,C16N2O3S1,False
QWRGDZULOKUGPE,QWRGDZULOKUGPE,C16N1O3,False
QWRIJEHDZDPIAF,QWRIJEHDZDPIAF,Br1C14N4O2,False
QWRIRBUKLBWVNF,QWRIRBUKLBWVNF,C9F3O3,False
QWRIURIVRIHUFS,QWRIURIVRIHUFS,C36N1O8P1,False
QWRJNDUNSMFZTP,QWRJNDUNSMFZTP,C20N3O3,False
QWRKJDKSNXUZOY,QWRKJDKSNXUZOY,C24N2O5,False
QWRLIKOCGVVBCW,QWRLIKOCGVVBCW,C20N2O3,False
QWRMMUSFPDUFIY,QWRMMUSFPDUFIY,C16N3O2S1,False
QWRSRUIWVXZOPQ,QWRSRUIWVXZOPQ,C17N4O3,False
QWRTUAHSUOJYIY,QWRTUAHSUOJYIY,C16Cl1N3O2,False
QWRVJMGRXASOET,QWRVJMGRXASOET,C20N1O3,False
QWRVMRAPWSATTJ,QWRVMRAPWSATTJ,C14N2O2,False
QWRVXDOPQNLBDT,QWRVXDOPQNLBDT,C15N2O3S1,False
QWRWAVNANXBGOK,QWRWAVNANXBGOK,C16N3O3,False
QWRXAULXWJNKIG,QWRXAULXWJNKIG,C20N2O2,False
QWRXESNXOICCDV,QWRXESNXOICCDV,Br1C12N3O2,False
QWRXLOOUDCJSCP,QWRXLOOUDCJSCP,C18Cl1N2O4,False
QWRXPQBXWVGUSD,QWRXPQBXWVGUSD,C19N4O1,False
QWRYLEWWNVYPBZ,QWRYLEWWNVYPBZ,C29N1O6,False
QWRYPHZJTWQLFX,QWRYPHZJTWQLFX,C13O5,False
QWRYXVQPZCLRFF,QWRYXVQPZCLRFF,C18N1O3S1,False
QWRZNUJBSWFIAX,QWRZNUJBSWFIAX,C16Cl1N4O2,False
QWSFNUPVXLZSJQ,QWSFNUPVXLZSJQ,C22F1N4O1,False
QWSNYPMFCOYPII,QWSNYPMFCOYPII,C17N3O2S1,False
QWSOAZOZNYJCRT,QWSOAZOZNYJCRT,C13N1O4S1,False
QWSPHCSYJOCREL,QWSPHCSYJOCREL,C19Cl1N3O3,False
QWSPRRPZMREAOL,QWSPRRPZMREAOL,C17N3O4,False
QWSSNTWUNWIMJP,QWSSNTWUNWIMJP,C17Cl1F1N2O4S1,False
QWSYKJZSJYRUSS,HMVBKWJHWNRQGB,C22N1O6,True
QWSZJXSHAMRYST,QWSZJXSHAMRYST,C16N1O5,False
QWTBZUUGPNOYFH,QWTBZUUGPNOYFH,C11N1O3,False
QWTDPSIENBWYBT,QWTDPSIENBWYBT,C16N3O1,False
QWTGVZIUYAGKCK,QWTGVZIUYAGKCK,C22Cl2N2O3,False
QWTIAIOUNRTNCP,QWTIAIOUNRTNCP,C18F2N2O2,False
QWTLFPAQGZPACF,QWTLFPAQGZPACF,C25N9,False
QWTOWCQDZMFYFT,QWTOWCQDZMFYFT,C14N3O2,False
QWTSVCFBMQJAMA,QWTSVCFBMQJAMA,C15N3O2,False
QWTUEUXNELZIKN,QWTUEUXNELZIKN,C17N3O5,False
QWTUNCPRGPKITK,QWTUNCPRGPKITK,C15F3N5,False
QWTUYZVQMIUXGU,QWTUYZVQMIUXGU,C19N2O2,False
QWTWUHGWQVGCQL,QWTWUHGWQVGCQL,C14N1O4,False
QWTXVJIEPADGHM,QWTXVJIEPADGHM,C17N3O2,False
QWTZVNVGJZLILG,QWTZVNVGJZLILG,C14N3O3,False
QWUAGVFPCJPMRA,QWUAGVFPCJPMRA,C13N1O4,False
QWUAZPGLVATNNY,QWUAZPGLVATNNY,C16N3O3S1,False
QWUCCGFNYKXDQD,QWUCCGFNYKXDQD,C18N2O2,False
QWUCRKUGEQUATA,QWUCRKUGEQUATA,C19N5O2,False
QWUDDXSVQOADRQ,QWUDDXSVQOADRQ,C17N6O2,False
QWUFQTAYHGDMCE,QWUFQTAYHGDMCE,C39N1O8P1,False
QWUHPPCZZXKXOQ,QWUHPPCZZXKXOQ,C14N3O1S1,False
QWULPKJUHUPMON,QWULPKJUHUPMON,C15Cl1N6O2,False
QWURHPVSUFXQSP,QWURHPVSUFXQSP,C24N4O1S1,False
QWUUKOOTQSDTBD,QWUUKOOTQSDTBD,C19N5O1,False
QWUVRDAFCSTMCD,QWUVRDAFCSTMCD,C14N5O1S1,False
QWUWXFDCKCTBGE,QWUWXFDCKCTBGE,C14N5O2S1,False
QWUWXWMBNUEZDV,QWUWXWMBNUEZDV,C14N1O3S1,False
QWVCCNCMTRCNQO,QWVCCNCMTRCNQO,C17N2O3S1,False
QWVGHSKPQHMALC,QWVGHSKPQHMALC,C15N3O3,False
QWVGKYWNOKOFNN,QWVGKYWNOKOFNN,C7O1,False
QWVHCEUVSNDDHT,QWVHCEUVSNDDHT,C16N3O4,False
QWVHZCIOOPKKFU,QWVHZCIOOPKKFU,C17N5O3,False
QWVJLYUKMXCSAB,QWVJLYUKMXCSAB,C19N1O3,False
QWVKCNQTXGWIDR,QWVKCNQTXGWIDR,C18N4O3S1,False
QWVNCDVONVDGDV,QWVNCDVONVDGDV,C6N1O2S1,False
QWVNHSNOQUNSHS,QWVNHSNOQUNSHS,C16N6O2,False
QWVOYPOXTLXYRB,QWVOYPOXTLXYRB,C12N3O2S2,False
QWVPOPJVRQPYLB,QWVPOPJVRQPYLB,Br1C11N3O3,False
QWVQHGGCCBWXAS,QWVQHGGCCBWXAS,C15N1O3,False
QWVQMFIICMFPHW,QWVQMFIICMFPHW,C17Cl1N5O1,False
QWVSHALYBCDTIN,QWVSHALYBCDTIN,C17Cl1N3O2S1,False
QWVWSERSLAJTNG,QWVWSERSLAJTNG,C21N2O2,False
QWVWVCOYXVZOJP,QWVWVCOYXVZOJP,C19N1O3,False
QWWBUKNSUBHZJN,QWWBUKNSUBHZJN,C13N3O2S1,False
QWWCUBRVSQVZEN,QWWCUBRVSQVZEN,C17F2N3O2,False
QWWCZSKDDXPAAX,QWWCZSKDDXPAAX,C10N2O3,False
QWWJVQXAZDNFLN,QWWJVQXAZDNFLN,C18N4O3,False
QWWKGKJAEVTKBN,QWWKGKJAEVTKBN,C17N1O3,False
QWWKYJJUYYLXKU,QWWKYJJUYYLXKU,C14Cl1N2O4S1,False
QWWKZSCBLBDRJO,QWWKZSCBLBDRJO,C19N4O1S1,False
QWWLBBZVJPETFB,QWWLBBZVJPETFB,C45N1O7P1,False
QWWLXODKFMKXIU,QWWLXODKFMKXIU,C19N2O3,False
QWWMUNZRDRBQME,QWWMUNZRDRBQME,C20N4O3,False
QWWODAPIEHJFQG,KOVRZNUMIKACTB,C14N2O2,True
QWWPCQGHWWNGET,QWWPCQGHWWNGET,C26O8,False
QWWPNWRLGWQPPG,QWWPNWRLGWQPPG,C19N2O3,False
QWWPPLKLWCLNKY,QWWPPLKLWCLNKY,C25N2O3,False
QWWRIOVFJBHWNK,QWWRIOVFJBHWNK,C18N4O2,False
QWWRJEXQIPKCLB,QWWRJEXQIPKCLB,C13N1O4,False
QWWUKFGKDRLYQW,QWWUKFGKDRLYQW,C19N4O1,False
QWWUZAJFCIZIIQ,QWWUZAJFCIZIIQ,C19N3O5,False
QWWWGNXZWCNICJ,QWWWGNXZWCNICJ,C18N4O3,False
QWWYOZZYNMLSTR,QWWYOZZYNMLSTR,C12Cl2N1O2S1,False
QWXBGTXKKOURON,QWXBGTXKKOURON,C16N4O4,False
QWXDTDWOYQPERX,WJFKNYWRSNBZNX,C12N1S1,True
QWXGKGCNSXFFJC,QWXGKGCNSXFFJC,C14N4O3S1,False
QWXGWFTTWJHSDY,QWXGWFTTWJHSDY,C19O7,False
QWXIUELEHMLSBL,QWXIUELEHMLSBL,C19Cl1F1N2O2,False
QWXJATJTAJMRKH,QWXJATJTAJMRKH,C20Cl1N2O3,False
QWXJJAVFLYJWIQ,QWXJJAVFLYJWIQ,C19F1N4O3,False
QWXLOKFKEVNXKT,QWXLOKFKEVNXKT,C19N3O2,False
QWXLTZQRYJBZQT,QWXLTZQRYJBZQT,C10N1O3S1,False
QWXMOONSIZOJJY,QWXMOONSIZOJJY,C14Cl1N3O3S1,False
QWXMWHORDSVZQV,QWXMWHORDSVZQV,C15N3O3,False
QWXRFXZZVLCEDD,QWXRFXZZVLCEDD,C13Cl1N3O1,False
QWXSUJOYEZDOLR,QWXSUJOYEZDOLR,C19Cl1N3O2,False
QWXUHBURPRWGNC,QWXUHBURPRWGNC,C12F3N4O2,False
QWXVUAMIJAZMBS,QWXVUAMIJAZMBS,C21N3O3,False
QWXWGHIMZYGMNR,QWXWGHIMZYGMNR,C20N2O2S1,False
QWYBWAZKXHQPGH,QWYBWAZKXHQPGH,C15Cl1N5,False
QWYBWWMUABLVBQ,QWYBWWMUABLVBQ,C14N3O3,False
QWYBXEBNADOAHV,QWYBXEBNADOAHV,C19N4O2,False
QWYBXZFSYSJUHH,QWYBXZFSYSJUHH,C19F2N3O2S1,False
QWYFHHGCZUCMBN,QWYFHHGCZUCMBN,C11N1O4,False
QWYNOTGFLNERCP,QWYNOTGFLNERCP,C30Cl1N5O8,False
QWYNXLBAFAPSKQ,QWYNXLBAFAPSKQ,C14N1O5,False
QWYODKDUUYYBDX,QWYODKDUUYYBDX,C16N1O3S1,False
QWYOTYYYMUNZJY,QWYOTYYYMUNZJY,C16N3O4,False
QWYPABJDJYJJIG,QWYPABJDJYJJIG,C16F3N5O1,False
QWYPDRKCCPURNH,QWYPDRKCCPURNH,C18N4O1,False
QWYPVSPDNCGJEU,QWYPVSPDNCGJEU,C17N5O2S1,False
QWYSWIWFZANSAY,QWYSWIWFZANSAY,C19N5O3,False
QWYVPFCSDBMYLD,QWYVPFCSDBMYLD,C16N3O2,False
QWYWKLKDYFEZHF,QWYWKLKDYFEZHF,Br1C11N1O4S1,False
QWYYGKIDMUCDII,QWYYGKIDMUCDII,C14N2O4,False
QWZDWKGZRBKLRU,QWZDWKGZRBKLRU,C11F3N4O3S1,False
QWZFVMCWPLMLTL,QWZFVMCWPLMLTL,C7F1N3O2P1,False
QWZHDKGQKYEBKK,QWZHDKGQKYEBKK,C9N1O2,False
QWZIMDXIJHYALX,QWZIMDXIJHYALX,C18Cl1N5O3,False
QWZJREBIPMOLSY,QWZJREBIPMOLSY,C15N4O2S1,False
QWZKWAVYEYGBNJ,QWZKWAVYEYGBNJ,C19N2O4S1,False
QWZLRQMAJNQTGC,QWZLRQMAJNQTGC,C18N5O2,False
QWZLXYONXWXDJY,QWZLXYONXWXDJY,C13N1O2,False
QWZMHUMZKIHCSI,QWZMHUMZKIHCSI,C16N4O3S1,False
QWZQJMXPMMMITC,QWZQJMXPMMMITC,C20F1N4O3,False
QWZRBONTHQRCLV,QWZRBONTHQRCLV,C14N7O2S1,False
QWZRCLPZAIFNEP,QWZRCLPZAIFNEP,C21N3O4,False
QWZRYVZARRQPHW,QWZRYVZARRQPHW,C14Cl2F1N1O3,False
QWZTZLSCZDFNMZ,QWZTZLSCZDFNMZ,C19N5O1,False
QWZXKLUTNYOYEX,QWZXKLUTNYOYEX,C15N4O2,False
QXABBNSTHZURKM,QXABBNSTHZURKM,C17F1N3O2,False
QXABSJNPPSPUAS,QXABSJNPPSPUAS,C15N5O2,False
QXACEHWTBCFNSA,QXACEHWTBCFNSA,C21O2,False
QXACZEKDWZFGFL,QXACZEKDWZFGFL,C19N4O1S1,False
QXACZQJRIPNEGF,QXACZQJRIPNEGF,C17Cl1N4O3S1,False
QXADAGXJMAGASS,QXADAGXJMAGASS,C26N1O7S1,False
QXADALOBWOSZRA,QXADALOBWOSZRA,C49N1O8P1,False
QXAGEYHJICGJHP,QXAGEYHJICGJHP,C16N4O1S1,False
QXAGLBBZZSQZDB,QXAGLBBZZSQZDB,C16N1O5S1,False
QXAITBQSYVNQDR,QXAITBQSYVNQDR,C19N3,False
QXALSWXQRMQMTD,QXALSWXQRMQMTD,C18F1N4O2,False
QXANIAZAMPJWCV,QXANIAZAMPJWCV,C24N3O4,False
QXANIEJQCONKDX,QXANIEJQCONKDX,C15N2O4,False
