metric_ik14,n_inchikey14,inchikey14s,example_smiles
NHPJDVPMZLAPLA,2,NHPJDVPMZLAPLA;RZBFPDQKWUWUCK,COC(=O)C1=C2Nc3ccccc3C23CCN2C4OC56C7CC4(CN5c4c(OC)cccc4C64CCN5CCC6OCCC6(C7)C54)C4OCCC4(C1)C23;COC(=O)C1CC23CCOC2C24CC5CC67CCOC6CCN6CCC8(c9cccc(OC)c9N(C2)C58OC4N2CCC4(C1=Nc1ccccc14)C23)C67
NIDZTEIOEZYFDV,2,AEEUCCIYTLQIKG;NIDZTEIOEZYFDV,Cc1ccc(C2c3[nH]c4ccccc4c3CC3C(=O)N(c4ccccc4C(=O)NCCCN4CCOCC4)C(=O)N32)cc1;Cc1ccc(C2c3[nH]c4ccccc4c3Cc3c(O)n(-c4ccccc4C(=O)NCCCN4CCOCC4)c(=O)n32)cc1
NIJCIQOKCDALJO,2,FPNKCZKRICBAKG;NIJCIQOKCDALJO,COc1cc(O)c2c(O)c3c(=O)cc(C)oc3cc2c1;COc1cc(=O)c2c(O)c3c(O)cc(C)oc3cc2c1
NILKJSARWWZILI,2,NILKJSARWWZILI;ORNLUXKJFDLMNT,CC(C)Oc1ccccc1C1Nc2ccccc2NC2=C1C(=O)CC(c1ccc(Cl)cc1)C2;CC(C)Oc1ccccc1C1Nc2ccccc2N=C2CC(c3ccc(Cl)cc3)CC(=O)C21
NLBJOOHTIGNYSK,2,FMSWDQKKHNMTCT;NLBJOOHTIGNYSK,O=C(CCN1C(=O)C2Cc3ccccc3CN2C1=O)NC(Cc1ccccc1)C(=O)O;O=C(CCn1c(O)c2n(c1=O)Cc1ccccc1C2)NC(Cc1ccccc1)C(=O)O
NLQLRPHTNAEKCI,2,CBLRPZZCLBREIA;NLQLRPHTNAEKCI,CCC(C)C(OC(C)=O)C(C)C1=CC(=O)C2=C(OC3C(=C2)C2(C)CCC(C(C)(C)O)OC2CC3C)C1=O;C=C(c1cc(O)c2c(c1O)OC1C(=C2)C2(C)CCC(C(C)(C)O)OC2CC1C)C(OC(C)=O)C(C)CC
NMXDVVUYHXIPEN,2,JLINBAUQGJKNRS;NMXDVVUYHXIPEN,CC=C(NC(=O)c1cccc(NC=O)c1O)C(=O)OC(C)C(OC(=O)C(C)CC)C(CC)C(=O)O;CCC(=NC(=O)c1cccc(NC=O)c1O)C(=O)OC(C)C(OC(=O)C(C)CC)C(CC)C(=O)O
NMZGHZWTMPDBBN,2,NMZGHZWTMPDBBN;VQKXXLNUNPXICX,CCCCCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1cc(Cl)c(O)c(OC)c1;CCCCCOC(=O)C1=C(C)N=C2CC(C)(C)CC(=O)C2C1c1cc(Cl)c(O)c(OC)c1
NNNODVSWNAETRI,2,NNNODVSWNAETRI;OBNLKIYUNMSGTC,CC=C(C)C(=O)OC1C(C)C2(O)C3C=C(C)C(=O)C3CC(C=O)=CC2C2C(C)(C)C12OC(=O)C(C)C;CC=C(C)C(=O)OC1C(C)C2(O)C3=C(CC(C=O)=CC2C2C(C)(C)C12OC(=O)C(C)C)C(=O)C(C)C3
ACDIKHRKKCNPNI,2,ACDIKHRKKCNPNI;MESZUNKTCYOZRK,CC(=O)Oc1ccc(C)cc1NC(=O)CC1SC(NN=C2CCCCC2)=NC1=O;CC(=O)Oc1ccc(C)cc1NC(=O)Cc1sc(NN=C2CCCCC2)nc1O
ACKYKPPUUIVFSB,2,ACKYKPPUUIVFSB;ZZFQYZCZBBRLTI,CC(CCC1C(CO)=CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O;CC(CCC1=C(CO)CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O
NNZKKNBNAHXEOF,2,LOGCRVAWKCZXQM;NNZKKNBNAHXEOF,CCCCCC1=CC(=O)C=C(OC)C12C(=O)Oc1cc(O)c(C(=O)O)c(CCCCC)c12;CCCCC=C1CC(=O)C=C(OC)C12C(=O)Oc1cc(O)c(C(=O)O)c(CCCCC)c12
NOLDNICYUPLDOY,2,FJAQNRBDVKIIKK;NOLDNICYUPLDOY,COC1C(OC(=O)c2ccc(C)[nH]2)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C;COC1C(OC(=O)c2ccc(C)[nH]2)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2Cl)OC1(C)C
NPBINYCUPZYWCO,2,DFHAFZIZPJQODZ;NPBINYCUPZYWCO,CC(=O)OC1C(C)C2(O)C3C=C(C)C(=O)C3CC(CO)=CC2C2C(C)(C)C12OC(=O)C(C)C;CC(=O)OC1C(C)C2(O)C3=C(CC(CO)=CC2C2C(C)(C)C12OC(=O)C(C)C)C(=O)C(C)C3
NPCZTDPKZMXZAZ,2,NPCZTDPKZMXZAZ;ULFUJLFTRWWLPO,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2)cc1;CCOC(=O)C1=C(C)N=C2CC(C)(C)CC(=O)C2C1c1ccc(-c2ccccc2)cc1
NPKMWKYPRKLOAY,2,KYIPVUWVVGXMKA;NPKMWKYPRKLOAY,CCCCCC=CC=CC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(=O)C(C)C;CCCCC=CC=CCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(=O)C(C)C
NPLRCLLCDNWRCF,2,BIHIEAXOTSXYAE;NPLRCLLCDNWRCF,C=C1C(=O)OC2CC(C)=CC(=O)C=C(C)C(OC(=O)C(C)=CC)C(O)C12;C=C1C(=O)OC2C=C(C)CC(=O)C=C(C)C(OC(=O)C(C)=CC)C(O)C12
NQCPGTQRKFSCIZ,2,MOJHSYLNAXIDLC;NQCPGTQRKFSCIZ,CCC1C=C(C(=O)NC(C(=O)O)C(C)C)C2CCC(=O)C2C1;CCC1CC2C(=O)CCC2C(C(=O)N=C(C(=O)O)C(C)C)C1
NRFICHYLZGZDAG,2,GKXZMMSWIIFNIR;NRFICHYLZGZDAG,CCC(C)C(=O)C1=C(O)C(C)=C2OC(C(C)(O)CCC=C(C)C)CC2(CC=C(C)C)C1=O;CCC(C)C(=O)C1C(=O)C(C)=C2OC(C(C)(O)CCC=C(C)C)CC2(CC=C(C)C)C1=O
NRQBNUNBPWKDMV,2,ACXODXBUYIMEFD;NRQBNUNBPWKDMV,COC(=O)CCCCCCCCC=Cc1cc(=O)c(C(N)=O)c[nH]1;COC(=O)CCCCCCCC=CCc1cc(=O)c(C(N)=O)c[nH]1
NRYGAIZGNIRVLR,2,NRYGAIZGNIRVLR;PGYQQEYWYHVHOW,CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)NC3=C2C(=O)CC(c2ccc(OC)cc2)C3)cc(Br)c1O;CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)N=C3CC(c4ccc(OC)cc4)CC(=O)C32)cc(Br)c1O
NSANSRXCXLENMA,2,NSANSRXCXLENMA;VVTDHOIRNPCGTH,COC1=C(NC(CO)CO)CC(O)(CO)CC1=O;COC1C(=O)CC(O)(CO)CC1=NC(CO)CO
NSCGCTPLPUDDHL,2,NSCGCTPLPUDDHL;OOLLAFOLCSJHRE,CC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C;CC(=O)OC1(C(C)=O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C
NSTKJANJDCVGJD,2,NSTKJANJDCVGJD;YOBJKYSYEWKNDX,CC=C(C)C=CC(=O)NCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;CC=C(C)CCC(=O)N=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
NTGOEOVPXRKJAO,2,NTGOEOVPXRKJAO;VTHVJYRXZYGARO,CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N(C(=O)c1ccccc1)C2c1ccc(Cl)cc1Cl;CC1(C)CC(=O)C2C(=Nc3ccccc3N(C(=O)c3ccccc3)C2c2ccc(Cl)cc2Cl)C1
NTULDXOMJSVNND,2,NTULDXOMJSVNND;VVRNYAJXAUQHEN,CCCCCCCC=CC=CC(=O)NCCc1ccc(O)cc1;CCCCCCCC=CC=CC(O)=NCCc1ccc(O)cc1;CCCCCCC=CC=CCC(=O)NCCc1ccc(O)cc1
NTYSONUMYRDGKH,2,LFDLVXYMKUPPOT;NTYSONUMYRDGKH,CCC1=C(C)C(=O)C(C)CC12C(=O)CCC2C(=O)O;CC=C1C(C)C(=O)C(C)CC12C(=O)CCC2C(=O)O
NUPZUMACVKRBCN,2,IUOPGSNWOXYEAG;NUPZUMACVKRBCN,CCC(C)OC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cc(OC)c(OC)c(OC)c1;CCC(C)OC(=O)C1=C(C)N=C2CC(c3ccc(Cl)cc3)CC(=O)C2C1c1cc(OC)c(OC)c(OC)c1
NUZKCMTXKNJTKY,2,LIIOJBIJVPGVGO;NUZKCMTXKNJTKY,CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C;CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(=CC(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C
NVHAUSFNFLPGGV,2,NVHAUSFNFLPGGV;VNVJJYZZBJKJFF,C=C1C(=O)OC2C3=C(C)C(=O)CC3C(C)CC(O)C12;C=C1C(=O)OC2C1C(O)CC(C)=C1CC(=O)C(C)C12
NWUODJAQNBXQSX,2,CYHGEJACRPDZDP;NWUODJAQNBXQSX,C=C1CC2(O)C3(C)CCC(=O)C(C)(C)C3=C(O)C(=O)C2(C)C2C(=O)OC(C)(C(=O)OC)C(=O)C12C;C=C1CC2(O)C3(C)CCC(=O)C(C)(C)C3C(=O)C(=O)C2(C)C2C(=O)OC(C)(C(=O)OC)C(=O)C12C
NXGJJPSZQIUXRX,2,JKTMSYUQFQWQFC;NXGJJPSZQIUXRX,CCCCCC=CC=CC(=O)OC1C(COC(C)=O)=CC2C(=O)C3(C=C(C)C(O)C13O)C(C)CC1C2C1(C)C;CCCCC=CC=CCC(=O)OC1C(COC(C)=O)=CC2C(=O)C3(C=C(C)C(O)C13O)C(C)CC1C2C1(C)C
NXOZATXILAQZTG,2,LHAOQTPGTBGTIG;NXOZATXILAQZTG,COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc(Cl)c1Cl;COC(=O)C1=C(C)N=C(C)C(C(=O)O)C1c1cccc(Cl)c1Cl
NXRDNDXFMHAZCM,2,NXRDNDXFMHAZCM;YEAXSAGTEKAYBH,O=C1c2[nH]cc3c2C(=NCC3)c2c(-c3ccc(O)cc3)c[nH]c21;Oc1ccc(-c2c[nH]c3c(O)c4c5c(c23)=NCCC=5C=N4)cc1
NYBZAGXTZXPYND,2,NYBZAGXTZXPYND;VRTHPBIMOLQLGL,CN1C(C(=O)O)CSC1C1CSC(=C2C=CC=CC2=O)N1;CN1C(C(=O)O)CSC1C1CSC(c2ccccc2O)=N1
NYWNMEGZLCZKPG,2,NYWNMEGZLCZKPG;XGWGQEYABFGJID,CCCCCC(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC4OCC(O)C(O)C4O)C3(C)C(=O)C(O)C(=C1C)C2(C)C;CCCCCC(O)=NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC4OCC(O)C(O)C4O)C3(C)C(=O)C(O)C(=C1C)C2(C)C;CCCCCC(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC4OCC(O)C(O)C4O)C3(C)C(=O)C(=O)C(C1C)C2(C)C
NZSVGYSRZFGOFN,2,JXIPKNRBDKQMAN;NZSVGYSRZFGOFN,CCCC=CC=Cc1c(O)cc(CC=C(C)C)c(O)c1C=O;CCCC=CC=Cc1c(O)cc(C=CC(C)C)c(O)c1C=O
NZTORXFOUGCOQV,2,NZTORXFOUGCOQV;ZAERYZFYKYXVEE,CCc1ccc(NC(=O)N2CCc3nc4cc(-c5ccccc5Cl)[nH]n4c(=O)c3C2)cc1;CCc1ccc(NC(=O)N2CCc3[nH]c4cc(-c5ccccc5Cl)nn4c(=O)c3C2)cc1
OARIBLSRDQSBQA,2,FJMAAWBVQJUJKZ;OARIBLSRDQSBQA,CC1=CC(=O)C2(OC3OC(C)C(O)C(O)C3OC(=O)C=Cc3ccccc3)C=COC(OC3OC(CO)C(O)C(O)C3O)C12;CC1=C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC2(OC2OC(C)C(O)C(O)C2OC(=O)C=Cc2ccccc2)C(=O)C1
OAYSPBLQVWNWKA,2,OAYSPBLQVWNWKA;SSUMVVHRTRQNRG,CC(=O)OC(C)(C(=O)C=CC(C)(C)O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C;CC(=O)OC(C)(C(=O)C=CC(C)(C)O)C1C(O)CC2(C)C3C=CC4C(CC(=O)C(=O)C4(C)C)C3(C)C(=O)CC12C
OBOLJBNRCHNUGI,2,OBOLJBNRCHNUGI;VWVPRYMOFYIOOZ,CCCCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C;CCCCCCCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C
OBZMXIHZRUNYOT,2,MBMQEIFVQACCCH;OBZMXIHZRUNYOT,CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1;CC1CCCC(=O)CCC=CCc2cc(O)cc(O)c2C(=O)O1
OCPAULKJMZLXQF,2,JQQBXPCJFAKSPG;OCPAULKJMZLXQF,O=C1OC2C3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c4c2C2C1=CC(=O)C(O)(O4)C2(O)O)C(OC(=O)c1cc(O)c(O)c(O)c1)O3;O=C1OC2C3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c4c2C2=C1CC(=O)C(O)(O4)C2(O)O)C(OC(=O)c1cc(O)c(O)c(O)c1)O3
OCQIYDBQGXNBHK,2,IVFYLRMMHVYGJH;OCQIYDBQGXNBHK,CC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC3(C)O)C12;CC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC3(C)O)C12
OEACRBNJRBJZCZ,2,OEACRBNJRBJZCZ;VZBUSXXYCPQEIC,CCCCc1c(CC=C(C)C)[nH]c(O)c(C)c1=O;CCCCc1c(CC=C(C)C)[nH]c(=O)c(C)c1O;CCCCc1c(C=CC(C)C)[nH]c(=O)c(C)c1O
OEIFJXNZZYYHED,2,MHOOPNKRBMHHEC;OEIFJXNZZYYHED,CC=CC1=CC(=O)C(O)C1O;CCCC1CC(=O)C(=O)C1=O
ACSJNMXHJOVJON,2,ACSJNMXHJOVJON;LNRUPMPQQGPSQT,CN(C)CCCNc1c2c(=O)n(C)c(=O)nc-2n(C)c2ccccc12;CN(C)CCCN=c1c2ccccc2n(C)c2[nH]c(=O)n(C)c(=O)c12
OFAJSLLPBCNKNC,2,OFAJSLLPBCNKNC;RXYYUEFBWDXREK,CC(C)N1CCC(N2CC3C(=O)N(c4ccccc4)C(=O)C3C2)C1=O;CC(C)N1CCC(N2Cc3c(c(O)n(-c4ccccc4)c3O)C2)C1=O
OFIAJPFTVXAQAQ,2,OFIAJPFTVXAQAQ;XZRJSQZEIIRBCI,CC(C)CCCCCc1nc(C=CC(O)=NCC(O)=NC(CO)C(=O)O)cs1;CC(C)CCCCCc1nc(CCC(=O)N=CC(=O)NC(CO)C(=O)O)cs1
OFKAVNQBCRJBJE,2,BRJKVQYYNXZRJY;OFKAVNQBCRJBJE,CC(C)(C)C1N=NC(=S)N(N)C1=O;CC(C)(C)c1n[nH]c(=S)n(N)c1=O
OFMANRLHGNRUQP,2,GXMVUJPIUWLNDG;OFMANRLHGNRUQP,CC=C(C)C(=O)OC1CC(OC(=O)C(C)=CC)C2(C)C3C(=O)C=C(C)C2C3C1(C)C;CC=C(C)C(=O)OC1CC(OC(=O)C(C)=CC)C2(C)C3=C(C)CC(=O)C2C3C1(C)C
OFMVEGGTEFSSGL,2,OFMVEGGTEFSSGL;PDMMFKSKQVNJMI,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;CCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
OFQMBMOYAGVFSW,2,OFQMBMOYAGVFSW;UDIXYHJHYVDNOG,O=C1c2c(O)cc(OC3OC(CO)C(O)C(O)C3O)cc2OC(c2ccc(O)cc2)C1O;O=C1C(O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O)cc2OC1c1ccc(O)cc1
OFQZUIAYUHVRFY,2,OFQZUIAYUHVRFY;PHKOJKSYBBXXED,CC1=CC=CC(C)C(O)C(C)C(O)C(C)C(O)C(C)C(O)C(CO)C=C(C)C(=O)c2c(O)c(C)c(O)c3c2C(=O)C=C(NC1=O)C3=O;CC1=CC=CC(C)C(O)C(C)C(O)C(C)C(O)C(C)C(O)C(CO)C=C(C)C(=O)c2c(O)c(C)c(O)c3c2C(=O)CC(=NC1=O)C3=O
OGBPBDMDXNFPCS,2,HIYSWASSDOXZLC;OGBPBDMDXNFPCS,CCCCCCCCCCCc1ccc(C=C2N=C(c3ccc[nH]3)C=C2OC)[nH]1;CCCCCCCCCCCC1=NC(=Cc2[nH]c(-c3ccc[nH]3)cc2OC)C=C1
OGGQBGOLLVGHCA,2,MRSJBSHLMOBYSH;OGGQBGOLLVGHCA,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1cccc([N+](=O)[O-])c1;COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1cccc([N+](=O)[O-])c1
OGOHUOVMTMLCGD,2,BLUQBEZYLPEUCP;OGOHUOVMTMLCGD,CC(=O)OC1CCC(C)OC12OC=C1C(=O)C(C)(OC(C)=O)C(=O)C(O)=C1C2OC(C)=O;CC(=O)OC1CCC(C)OC12OC=C1C(=O)C(C)(OC(C)=O)C(=O)C(=O)C1C2OC(C)=O
OHCGDTDTWFLFPL,2,OHCGDTDTWFLFPL;VJQAFLAZRVKAKM,C=C1C(=O)OC2C3C(CO)=CC(=O)C3=C(C)CC(O)C12;C=C1C(=O)OC2C1C(O)C=C(C)C1C(=O)C=C(CO)C12
OICIAYRGTXPUNW,2,OICIAYRGTXPUNW;ZYCAGKYWXRKLSN,CC=C(C)C(=O)OC1C(C)=CC23C(=O)C(C=C(COC(C)=O)C(O)C12O)C1C(CC3C)C1(C)C;CC=C(C)C(=O)OC1C(C)=CC23C(=O)C(=CC(COC(C)=O)C(O)C12O)C1C(CC3C)C1(C)C
OJHBQWRSUJOFQB,2,AALSSIXXBDPENJ;OJHBQWRSUJOFQB,CCCCCCCCCC(=CC1=C(C)C(=O)C(OC)=C(OC)C1=O)C(=O)O;CCCCCCCC=CC(=Cc1c(C)c(O)c(OC)c(OC)c1O)C(=O)O
OJPLCPBWIQWABI,2,KUFXJZXMWHNCEH;OJPLCPBWIQWABI,C=C(C)C1CCC2(C)CCC(=O)C(C)=C2C1;C=C(C)C1C=C2C(C)C(=O)CCC2(C)CC1
OLHDQSVEEMQKAE,2,OLHDQSVEEMQKAE;ZNTUDOOZDLMYAG,CCCCCCC=CCc1cc(O)c2ccccc2n1;CCCCCCCC=Cc1cc(=O)c2ccccc2[nH]1;CCCCCCCC=Cc1cc(O)c2ccccc2n1
ZOOGRGPOEVQQDX,2,UPCLSKXIRZSGIW;ZOOGRGPOEVQQDX,Nc1nc(=O)c2ncn(C3OC4COP(=O)(O)OC4C3O)c2[nH]1;Nc1nc2c(ncn2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1;N=c1nc(O)c2ncn(C3OC4COP(=O)(O)OC4C3O)c2[nH]1
OLNCDHDEGPCCCL,2,HFLMTUAFIMJWFQ;OLNCDHDEGPCCCL,COc1cc(C2C=C(c3ccc(Cl)cc3Cl)Nc3ncnn32)cc(OC)c1OC;COc1cc(C2CC(c3ccc(Cl)cc3Cl)=Nc3ncnn32)cc(OC)c1OC
OLWGWPVIWQZCDJ,2,OLWGWPVIWQZCDJ;OROAFUQRIXKEMV,CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1;CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
OLXRITXDRYSRBH,2,DWCXXICTUDDKTB;OLXRITXDRYSRBH,CC1=CC(=O)C2(OC2C(=O)CC(C)C)C(=O)N1;CC1=NC(=O)C2(OC2C(=O)CC(C)C)C(=O)C1
OMCNBWHQHXWVAP,2,OMCNBWHQHXWVAP;PPZVSYXNLXFYAD,O=C(O)CCC1OC(=O)C(O)=C1c1ccccc1;O=C(O)CCC1OC(=O)C(=O)C1c1ccccc1
OMOIZFYLRZUABO,2,KUFRQPKVAWMTJO;OMOIZFYLRZUABO,COC1C=CC=C(C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O)C2=O;COC1C=CC=C(C)C(=O)Nc2cc(O)c(NCCN(C)C)c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O
OMSIWXSUNPHFMK,2,FZCHYNWYXKICIO;OMSIWXSUNPHFMK,CCCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C;CCCCC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C
ONHRUQJZWWQVHR,2,ICFIZJQGJAJRSU;ONHRUQJZWWQVHR,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O;COc1c(O)c(C)c(C=CC(C)=CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c(O)c1OC
OOKCZXGEYPSNIM,2,NSYSSMYQPLSPOD;OOKCZXGEYPSNIM,Cc1cc(O)cc(=O)o1;Cc1cc(=O)cc(O)o1
OQGVTEGPAMTWPQ,2,JUSRSHKQWKDVMR;OQGVTEGPAMTWPQ,CCCCCCCc1nc(C=CC(=O)NCC(=O)O)cs1;CCCCCCCc1nc(C=CC(O)=NCC(=O)O)cs1;CCCCCCCc1nc(CCC(=O)N=CC(=O)O)cs1
OQVRCWUMFBNYKF,2,OQVRCWUMFBNYKF;OZCACMPSTYQSMM,CN1C2=CC(=O)C(=NNC(=N)O)C=C2CC1S(=O)(=O)O;CN1c2cc(O)c(N=NC(N)=O)cc2CC1S(=O)(=O)O
ORJMOWYWYBXFBE,2,FAOZLTXFLGPHNG;ORJMOWYWYBXFBE,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C;CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
ORMJEQPPTOFJLS,2,ORMJEQPPTOFJLS;PDICCECAPKBDBB,O=C1c2oc3cc(O)c(O)cc3c2C(=O)c2oc3cc(O)c(O)cc3c21;O=C1Cc2c(oc3c(=O)c4c(oc5cc(=O)c(=O)cc54)c(=O)c23)CC1O
ORYUZRYIVLQREG,2,ORYUZRYIVLQREG;ZHPJTBCBNJMDQB,Cc1cc(N2CC3C(=O)N(Cc4ccccc4)C(=O)C3C2)n2nccc2n1;Cc1cc(N2Cc3c(c(O)n(Cc4ccccc4)c3O)C2)n2nccc2n1
OSBXZJKBBFPEJJ,2,GGLFMIALTLLMEJ;OSBXZJKBBFPEJJ,CC(CC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C)C(C)(O)CO;CC(CC(O)C(C)(O)C1CCC2(O)C3=C(CCC12C)C1(C)CC(O)C(O)CC1C(=O)C3)C(C)(O)CO
OSKDFRPDPQTIBP,2,IMVOEOLJLDDJRP;OSKDFRPDPQTIBP,CC1=CC(=O)C2(OC3OC(C)C(O)C(OC(=O)C=Cc4ccccc4)C3O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12;CC1=C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC2(OC2OC(C)C(O)C(OC(=O)C=Cc3ccccc3)C2O)C(=O)C1
OSLWTMWZINOVMZ,2,CROKULRAQZCUKQ;OSLWTMWZINOVMZ,O=C(CC1NC(=O)N(CCc2ccccc2)C1=O)NC(CO)Cc1ccccc1;O=C(Cc1[nH]c(=O)n(CCc2ccccc2)c1O)NC(CO)Cc1ccccc1
OSSLBCDVGLBKDW,2,FSNITHOUQGJHTR;OSSLBCDVGLBKDW,C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1;CC=C(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1
ALCSEBZFGCHLCJ,2,ALCSEBZFGCHLCJ;RRWXSVSMTCNULZ,CC(C)c1ccc(C2c3[nH]c4ccccc4c3CC3C(=O)N(c4ccccc4C(=O)N4CCCC4C(=O)O)C(=O)N32)cc1;CC(C)c1ccc(C2c3[nH]c4ccccc4c3Cc3c(O)n(-c4ccccc4C(=O)N4CCCC4C(=O)O)c(=O)n32)cc1
AADGIVANXMJZCW,2,AADGIVANXMJZCW;BFZHCUBIASXHPK,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C;CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C
OTOWPJXDXAXSTB,2,OTOWPJXDXAXSTB;QYPABEUQMXOENV,COc1ccc(CC2NC(=O)C(C)=CC3CSC(=N3)C(C)C(O)CC(C)CC(C(C)(C)C)OC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C)N(C)C2=O)cc1;COc1ccc(CC2=NC(=O)C(C)CC3CSC(=N3)C(C)C(O)CC(C)CC(C(C)(C)C)OC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C)N(C)C2=O)cc1
OTRYWKRZGZHPOZ,2,CCHUDPANZXHQCS;OTRYWKRZGZHPOZ,CC(C)C=C1NC(=O)C(C(C)C)n2c1nc1c(c2=O)C=CC=CO1;CC(C)Cc1nc(O)c(C(C)C)n2c(=O)c3c(nc12)OC=CC=C3
OTVKQJMSEKQVPA,2,FADFGCOCHHNRHF;OTVKQJMSEKQVPA,CCCCCCCCCC=CC(=O)CCc1ccc(O)c(OC)c1;CCCCCCCCC=CCC(=O)CCc1ccc(O)c(OC)c1
